Time (s),Acceleration m/s^2
431.8564537,0.01301278
433.224242,0.01451978
434.5920304,0.014800423
435.9598188,0.014741666
437.3276072,0.01472336
438.6953955,0.014771052
441.4309723,0.014808942
444.166549,0.014811405
446.9021258,0.014792413
457.7665163,0.014695597
468.6309068,0.014588281
469.4723398,0.014580036
470.3137729,0.014508489
471.1552059,0.014414165
472.4797391,0.014420111
473.8042722,0.014434208
475.1288054,0.014429877
477.262697,0.014412209
479.3965886,0.014389582
481.5304803,0.014367861
487.5454542,0.014311932
493.5604281,0.014258587
499.575402,0.014206139
509.7140166,0.014020295
510.4072286,0.013013657
511.1004406,0.012389822
511.7936526,0.012022024
513.1800766,0.011644028
514.5665006,0.011526424
515.9529246,0.011501826
518.3237429,0.011488274
520.6945613,0.011484986
523.0653797,0.011475134
531.6646755,0.011415771
540.2639713,0.011349439
545.3613874,0.011311362
547.6346613,0.011294897
547.878991,0.011293142
548.1233207,0.010864913
548.3676504,0.009279335
548.8384668,0.007459578
549.3092832,0.006470468
550.0375113,0.005917879
550.7657393,0.006017673
551.4939674,0.00620732
552.871617,0.006353194
554.2492666,0.006360893
555.6269162,0.006386217
557.0045659,0.006425924
564.130138,0.006433311
571.2557102,0.006391843
578.3812823,0.006344825
580.4559814,0.006331451
582.5306805,0.006318555
584.6053796,0.006305954
586.5170935,0.007835845
586.7765283,0.00889556
587.0359631,0.009815416
587.5548327,0.011417028
588.0737024,0.01253116
588.592572,0.013281938
590.0501785,0.014125121
591.5077851,0.014258868
592.9653916,0.014376644
594.4229981,0.014519958
598.6158177,0.014624609
600,0.014631317
